,date,mp_10yr
477,1929-11-26,
478,1929-11-27,
479,1929-12-02,
480,1929-12-03,
481,1929-12-04,
482,1929-12-05,
483,1929-12-06,
484,1929-12-09,
485,1929-12-10,
486,1929-12-11,
487,1929-12-12,
488,1929-12-13,
489,1929-12-16,
490,1929-12-17,
491,1929-12-18,
492,1929-12-19,
493,1929-12-20,
494,1929-12-23,
495,1929-12-24,
496,1929-12-26,
497,1929-12-27,
498,1929-12-30,
499,1929-12-31,
500,1930-01-02,
501,1930-01-03,
502,1930-01-06,
503,1930-01-07,
504,1930-01-08,
505,1930-01-09,
506,1930-01-10,
507,1930-01-13,
508,1930-01-14,
509,1930-01-15,
510,1930-01-16,
511,1930-01-17,
512,1930-01-20,
513,1930-01-21,
514,1930-01-22,
515,1930-01-23,
516,1930-01-24,
517,1930-01-27,
518,1930-01-28,
519,1930-01-29,
520,1930-01-30,
521,1930-01-31,
522,1930-02-03,
523,1930-02-04,
524,1930-02-05,
525,1930-02-06,
526,1930-02-07,
527,1930-02-10,
528,1930-02-11,
529,1930-02-13,
530,1930-02-14,
531,1930-02-17,
532,1930-02-18,
533,1930-02-19,
534,1930-02-20,
535,1930-02-21,
536,1930-02-24,
537,1930-02-25,
538,1930-02-26,
539,1930-02-27,
540,1930-02-28,
541,1930-03-03,
542,1930-03-04,
543,1930-03-05,
544,1930-03-06,
545,1930-03-07,
546,1930-03-10,
547,1930-03-11,
548,1930-03-12,
549,1930-03-13,
550,1930-03-14,
551,1930-03-17,
552,1930-03-18,
553,1930-03-19,
554,1930-03-20,
555,1930-03-21,
556,1930-03-24,
557,1930-03-25,
558,1930-03-26,
559,1930-03-27,
560,1930-03-28,
561,1930-03-31,
562,1930-04-01,
563,1930-04-02,
564,1930-04-03,
565,1930-04-04,
566,1930-04-07,
567,1930-04-08,
568,1930-04-09,
569,1930-04-10,
570,1930-04-11,
571,1930-04-14,
572,1930-04-15,
573,1930-04-16,
574,1930-04-17,
575,1930-04-21,
576,1930-04-22,
577,1930-04-23,
578,1930-04-24,
579,1930-04-25,
580,1930-04-28,
581,1930-04-29,
582,1930-04-30,
583,1930-05-01,
584,1930-05-02,
585,1930-05-05,
586,1930-05-06,
587,1930-05-07,
588,1930-05-08,
589,1930-05-09,
590,1930-05-12,
591,1930-05-13,
592,1930-05-14,
593,1930-05-15,
594,1930-05-16,
595,1930-05-19,
596,1930-05-20,
597,1930-05-21,
598,1930-05-22,
599,1930-05-23,
600,1930-05-26,
601,1930-05-27,
602,1930-05-28,
603,1930-05-29,
604,1930-06-02,
605,1930-06-03,
606,1930-06-04,
607,1930-06-05,
608,1930-06-06,
609,1930-06-09,
610,1930-06-10,
611,1930-06-11,
612,1930-06-12,
613,1930-06-13,
614,1930-06-16,
615,1930-06-17,
616,1930-06-18,
617,1930-06-19,
618,1930-06-20,
619,1930-06-23,
620,1930-06-24,
621,1930-06-25,
622,1930-06-26,
623,1930-06-27,
624,1930-06-30,
625,1930-07-01,
626,1930-07-02,
627,1930-07-03,
628,1930-07-07,
629,1930-07-08,
630,1930-07-09,
631,1930-07-10,
632,1930-07-11,
633,1930-07-14,
634,1930-07-15,
635,1930-07-16,
636,1930-07-17,
637,1930-07-18,
638,1930-07-21,
639,1930-07-22,
640,1930-07-23,
641,1930-07-24,
642,1930-07-25,
643,1930-07-28,
644,1930-07-29,
645,1930-07-30,
646,1930-07-31,
647,1930-08-01,
648,1930-08-04,
649,1930-08-05,
650,1930-08-06,
651,1930-08-07,
652,1930-08-08,
653,1930-08-11,
654,1930-08-12,
655,1930-08-13,
656,1930-08-14,
657,1930-08-15,
658,1930-08-18,
659,1930-08-19,
660,1930-08-20,
661,1930-08-21,
662,1930-08-22,
663,1930-08-25,
664,1930-08-26,
665,1930-08-27,
666,1930-08-28,
667,1930-08-29,
668,1930-09-02,
669,1930-09-03,
670,1930-09-04,
671,1930-09-05,
672,1930-09-08,
673,1930-09-09,
674,1930-09-10,
675,1930-09-11,
676,1930-09-12,
677,1930-09-15,
678,1930-09-16,
679,1930-09-17,
680,1930-09-18,
681,1930-09-19,
682,1930-09-22,
683,1930-09-23,
684,1930-09-24,
685,1930-09-25,
686,1930-09-26,
687,1930-09-29,
688,1930-09-30,
689,1930-10-01,
690,1930-10-02,
691,1930-10-03,
692,1930-10-06,
693,1930-10-07,
694,1930-10-08,
695,1930-10-09,
696,1930-10-10,
697,1930-10-14,
698,1930-10-15,
699,1930-10-16,
700,1930-10-17,
701,1930-10-20,
702,1930-10-21,
703,1930-10-22,
704,1930-10-23,
705,1930-10-24,
706,1930-10-27,
707,1930-10-28,
708,1930-10-29,
709,1930-10-30,
710,1930-10-31,
711,1930-11-03,
712,1930-11-05,
713,1930-11-06,
714,1930-11-07,
715,1930-11-10,
716,1930-11-11,
717,1930-11-12,
718,1930-11-13,
719,1930-11-14,
720,1930-11-17,
721,1930-11-18,
722,1930-11-19,
723,1930-11-20,
724,1930-11-21,
725,1930-11-24,
726,1930-11-25,
727,1930-11-26,
728,1930-11-28,
729,1930-12-01,
730,1930-12-02,
731,1930-12-03,
732,1930-12-04,
733,1930-12-05,
734,1930-12-08,
735,1930-12-09,
736,1930-12-10,
737,1930-12-11,
738,1930-12-12,
739,1930-12-15,
740,1930-12-16,
741,1930-12-17,
742,1930-12-18,
743,1930-12-19,
744,1930-12-22,
745,1930-12-23,
746,1930-12-24,
747,1930-12-26,
748,1930-12-29,
749,1930-12-30,
750,1930-12-31,
751,1931-01-02,
752,1931-01-05,
753,1931-01-06,
754,1931-01-07,
755,1931-01-08,
756,1931-01-09,
757,1931-01-12,
758,1931-01-13,
759,1931-01-14,
760,1931-01-15,
761,1931-01-16,
762,1931-01-19,
763,1931-01-20,
764,1931-01-21,
765,1931-01-22,
766,1931-01-23,
767,1931-01-26,
768,1931-01-27,
769,1931-01-28,
770,1931-01-29,
771,1931-01-30,
772,1931-02-02,
773,1931-02-03,
774,1931-02-04,
775,1931-02-05,
776,1931-02-06,
777,1931-02-09,
778,1931-02-10,
779,1931-02-11,
780,1931-02-13,
781,1931-02-16,
782,1931-02-17,
783,1931-02-18,
784,1931-02-19,
785,1931-02-20,
786,1931-02-24,
787,1931-02-25,
788,1931-02-26,
789,1931-02-27,
790,1931-03-02,
791,1931-03-03,
792,1931-03-04,
793,1931-03-05,
794,1931-03-06,
795,1931-03-09,
796,1931-03-10,
797,1931-03-11,
798,1931-03-12,
799,1931-03-13,
800,1931-03-16,
801,1931-03-17,
802,1931-03-18,
803,1931-03-19,
804,1931-03-20,
805,1931-03-23,
806,1931-03-24,
807,1931-03-25,
808,1931-03-26,
809,1931-03-27,
810,1931-03-30,
811,1931-03-31,
812,1931-04-01,
813,1931-04-02,
814,1931-04-06,
815,1931-04-07,
816,1931-04-08,
817,1931-04-09,
818,1931-04-10,
819,1931-04-13,
820,1931-04-14,
821,1931-04-15,
822,1931-04-16,
823,1931-04-17,
824,1931-04-20,
825,1931-04-21,
826,1931-04-22,
827,1931-04-23,
828,1931-04-24,
829,1931-04-27,
830,1931-04-28,
831,1931-04-29,
832,1931-04-30,
833,1931-05-01,
834,1931-05-04,
835,1931-05-05,
836,1931-05-06,
837,1931-05-07,
838,1931-05-08,
839,1931-05-11,
840,1931-05-12,
841,1931-05-13,
842,1931-05-14,
843,1931-05-15,
844,1931-05-18,
845,1931-05-19,
846,1931-05-20,
847,1931-05-21,
848,1931-05-22,
849,1931-05-25,
850,1931-05-26,
851,1931-05-27,
852,1931-05-28,
853,1931-05-29,
854,1931-06-01,
855,1931-06-02,
856,1931-06-03,
857,1931-06-04,
858,1931-06-05,
859,1931-06-08,
860,1931-06-09,
861,1931-06-10,
862,1931-06-11,
863,1931-06-12,
864,1931-06-15,
865,1931-06-16,
866,1931-06-17,
867,1931-06-18,
868,1931-06-19,
869,1931-06-22,
870,1931-06-23,
871,1931-06-24,
872,1931-06-25,
873,1931-06-26,
874,1931-06-29,
875,1931-06-30,
876,1931-07-01,
877,1931-07-02,
878,1931-07-03,
879,1931-07-06,
880,1931-07-07,
881,1931-07-08,
882,1931-07-09,
883,1931-07-10,
884,1931-07-13,
885,1931-07-14,
886,1931-07-15,
887,1931-07-16,
888,1931-07-17,
889,1931-07-20,
890,1931-07-21,
891,1931-07-22,
892,1931-07-23,
893,1931-07-24,
894,1931-07-27,
895,1931-07-28,
896,1931-07-29,
897,1931-07-30,
898,1931-07-31,
899,1931-08-03,
900,1931-08-04,
901,1931-08-05,
902,1931-08-06,
903,1931-08-07,
904,1931-08-10,
905,1931-08-11,
906,1931-08-12,
907,1931-08-13,
908,1931-08-14,
909,1931-08-17,
910,1931-08-18,
911,1931-08-19,
912,1931-08-20,
913,1931-08-21,
914,1931-08-24,
915,1931-08-25,
916,1931-08-26,
917,1931-08-27,
918,1931-08-28,
919,1931-08-31,
920,1931-09-01,
921,1931-09-02,
922,1931-09-03,
923,1931-09-04,
924,1931-09-08,
925,1931-09-09,
926,1931-09-10,
927,1931-09-11,
928,1931-09-14,
929,1931-09-15,
930,1931-09-16,
931,1931-09-17,
932,1931-09-18,
933,1931-09-21,
934,1931-09-22,
935,1931-09-23,
936,1931-09-24,
937,1931-09-25,
938,1931-09-28,
939,1931-09-29,
940,1931-09-30,
941,1931-10-01,
942,1931-10-02,
943,1931-10-05,
944,1931-10-06,
945,1931-10-07,
946,1931-10-08,
947,1931-10-09,
948,1931-10-13,
949,1931-10-14,
950,1931-10-15,
951,1931-10-16,
952,1931-10-19,
953,1931-10-20,
954,1931-10-21,
955,1931-10-22,
956,1931-10-23,
957,1931-10-26,
958,1931-10-27,
959,1931-10-28,
960,1931-10-29,
961,1931-10-30,
962,1931-11-02,
963,1931-11-04,
964,1931-11-05,
965,1931-11-06,
966,1931-11-09,
967,1931-11-10,
968,1931-11-11,
969,1931-11-12,
970,1931-11-13,
971,1931-11-16,
972,1931-11-17,
973,1931-11-18,
974,1931-11-19,
975,1931-11-20,
976,1931-11-23,
977,1931-11-24,
978,1931-11-25,
979,1931-11-27,
980,1931-11-30,
981,1931-12-01,
982,1931-12-02,
983,1931-12-03,
984,1931-12-04,
985,1931-12-07,
986,1931-12-08,
987,1931-12-09,
988,1931-12-10,
989,1931-12-11,
990,1931-12-14,
991,1931-12-15,
992,1931-12-16,
993,1931-12-17,
994,1931-12-18,
995,1931-12-21,
996,1931-12-22,
997,1931-12-23,
998,1931-12-24,
999,1931-12-28,
1000,1931-12-29,
1001,1931-12-30,
1002,1931-12-31,
1003,1932-01-04,
1004,1932-01-05,
1005,1932-01-06,
1006,1932-01-07,
1007,1932-01-08,
1008,1932-01-11,
1009,1932-01-12,
1010,1932-01-13,
1011,1932-01-14,
1012,1932-01-15,
1013,1932-01-18,
1014,1932-01-19,
1015,1932-01-20,
1016,1932-01-21,
1017,1932-01-22,
1018,1932-01-25,
1019,1932-01-26,
1020,1932-01-27,
1021,1932-01-28,
1022,1932-01-29,
1023,1932-02-01,
1024,1932-02-02,
1025,1932-02-03,
1026,1932-02-04,
1027,1932-02-05,
1028,1932-02-08,
1029,1932-02-09,
1030,1932-02-10,
1031,1932-02-11,
1032,1932-02-15,
1033,1932-02-16,
1034,1932-02-17,
1035,1932-02-18,
1036,1932-02-19,
1037,1932-02-23,
1038,1932-02-24,
1039,1932-02-25,
1040,1932-02-26,
1041,1932-02-29,
1042,1932-03-01,
1043,1932-03-02,
1044,1932-03-03,
1045,1932-03-04,
1046,1932-03-07,
1047,1932-03-08,
1048,1932-03-09,
1049,1932-03-10,
1050,1932-03-11,
1051,1932-03-14,
1052,1932-03-15,
1053,1932-03-16,
1054,1932-03-17,
1055,1932-03-18,
1056,1932-03-21,
1057,1932-03-22,
1058,1932-03-23,
1059,1932-03-24,
1060,1932-03-28,
1061,1932-03-29,
1062,1932-03-30,
1063,1932-03-31,
1064,1932-04-01,
1065,1932-04-04,
1066,1932-04-05,
1067,1932-04-06,
1068,1932-04-07,
1069,1932-04-08,
1070,1932-04-11,
1071,1932-04-12,
1072,1932-04-13,
1073,1932-04-14,
1074,1932-04-15,
1075,1932-04-18,
1076,1932-04-19,
1077,1932-04-20,
1078,1932-04-21,
1079,1932-04-22,
1080,1932-04-25,
1081,1932-04-26,
1082,1932-04-27,
1083,1932-04-28,
1084,1932-04-29,
1085,1932-05-02,
1086,1932-05-03,
1087,1932-05-04,
1088,1932-05-05,
1089,1932-05-06,
1090,1932-05-09,
1091,1932-05-10,
1092,1932-05-11,
1093,1932-05-12,
1094,1932-05-13,
1095,1932-05-16,
1096,1932-05-17,
1097,1932-05-18,
1098,1932-05-19,
1099,1932-05-20,
1100,1932-05-23,
1101,1932-05-24,
1102,1932-05-25,
1103,1932-05-26,
1104,1932-05-27,
1105,1932-05-31,
1106,1932-06-01,
1107,1932-06-02,
1108,1932-06-03,
1109,1932-06-06,
1110,1932-06-07,
1111,1932-06-08,
1112,1932-06-09,
1113,1932-06-10,
