,mean_ret,std_error_nw_ret,tstat_nw_ret,mean_ct,std_error_nw_ct,tstat_nw_ct,mean_chg,std_error_nw_chg,tstat_nw_chg,mean_misp,std_error_nw_misp,tstat_nw_misp
mom36m,-0.010486296711161849,0.0118043351129346,-0.8883428512353474,-0.031629299810733744,0.04864193872123565,-0.6502475156674895,-0.30952668884239376,0.10956728071549882,-2.824991975899332,0.2201172580858457,0.021156416824866364,10.404278754194761
pricedelay,-0.016660132482212535,0.007339207447825273,-2.2700179277735506,0.2729637967124996,0.0875710045824309,3.1170568159413747,0.34393611143286007,0.15189389016942786,2.264318275404109,-0.26717470214643446,0.048536079029376046,-5.504661841034363
turn,-0.05916013484331876,0.01553443850051304,-3.8083214170479955,-0.13408031614236104,0.05003042630970291,-2.6799754875636044,0.07861401911410613,0.09559935170333617,0.8223279521608169,0.24161973786808022,0.020567339988866857,11.747738793585825
absacc,-0.5707598609206884,0.07930055189694285,-7.197426086799934,-0.7999400744758435,0.5179843498338892,-1.54433251647926,-2.070089016161983,0.738171085001563,-2.804348555806138,1.1796459153623553,0.10033325248541212,11.757277733360324
acc,-0.17083086019440524,0.06280085254658799,-2.7201996990037136,-0.24372034856202596,0.3438459027867742,-0.7088069003781671,0.2900288190604593,0.43709805575234656,0.6635326221281237,-0.6864926858351822,0.1321505188866952,-5.194778587466429
age,0.0016000777881841003,0.000778652120669626,2.0549328072311215,0.0009676748244827605,0.0025593060571209593,0.3781004705515084,-0.02168172903762267,0.01300003963383523,-1.667820225808511,0.010424622615895477,0.0018183063144585475,5.733149873045293
agr,0.11430256310689255,0.021305946210994825,5.36481984770558,-0.08371573484455457,0.09373345448239127,-0.8931254620545471,1.95574004450917,1.007082537767697,1.9419858563373273,-0.559097248206817,0.026321587317951735,-21.241015652027336
bm,-0.000631745387771765,0.0003729570228542388,-1.69388253621562,0.007401161503789161,0.0037670736964635996,1.964697826521716,0.06973545708261823,0.02714901830617516,2.56861799922823,-0.03783121502790918,0.00337374986252109,-11.213402465954957
bm_ia,-0.0002666865658908313,0.00025493725532994393,-1.0460870677597953,0.009967177403684708,0.004268801808580093,2.334888769877099,0.039734521658941736,0.01501672927108728,2.6460170481627636,-0.01708502969767497,0.0016444846931867596,-10.389290802437813
cashdebt,0.017932533219692404,0.005637179851215779,3.1811178094353094,0.1759783420441466,0.1216989844477126,1.4460132337402938,-0.13129419235006357,0.13193080495982074,-0.9951746477257449,-0.014008368168852377,0.00854590397576155,-1.6391909163248057
cashpr,-0.00033006760628134384,8.080222585934447e-05,-4.08488259786191,-0.0001799944753061281,0.00039762164364742347,-0.4526777608357046,-0.0040550387138604685,0.0013160681819066964,-3.081176773064751,0.002762248549380144,0.00018347036358515496,15.055557177756878
cfp,0.2800544819124978,0.039096828252197964,7.163099781546949,0.6069892180978561,0.20355264711703866,2.9819765387224346,1.865231412582922,0.7228498585614563,2.5803856644517014,-1.0464151264695716,0.11681445388153275,-8.95792508289079
cfp_ia,0.17241609905456048,0.023065614341154693,7.475027393782789,0.281046103109447,0.2797081309153518,1.0047834583489463,1.1557508217894419,0.4632635335317396,2.4948020686593884,-0.3041487112336125,0.05419257052956822,-5.612369154322819
chatoia,0.10482296129257408,0.018551608805598693,5.650343449509325,0.3232003463898854,0.2960016096189662,1.0918871245529078,0.145324838864273,0.2681106154147798,0.5420331404612555,0.012521292764496502,0.035386182199084085,0.3538469534252439
chcsho,-0.08774781063081313,0.0186471825028169,-4.705687340034221,-0.03369761244163825,0.1069740372249312,-0.3150073916606817,-2.2400861541857333,1.261386116687548,-1.7758925078930565,0.5186998307331244,0.025213667024180677,20.572169460145382
chempia,0.01667472465150869,0.011948042925714759,1.3956030083906958,-0.1973322701478247,0.12571247550904147,-1.5697111153748,-0.1452882558869166,0.062184728183700265,-2.336397699732959,0.1870759464718387,0.02185505626557381,8.55984739634469
chinv,-0.05960917557428573,0.11093114444559923,-0.5373529307048495,-0.9655976938573785,0.7863296905322915,-1.2279807127767677,-6.208499330272389,2.777099189425448,-2.235605899102531,1.7522617125940592,0.1674424085356087,10.464862085529658
